rank,score,badge_name,level_name,priority,l1_header,l2_category,l3_category,ibm_link,bp_link
1,120.0,Customer 360 Technical Sales Intermediate,L2-Intermediate,next_level,Data Platform,Data Fabric,Data Intelligence,https://yourlearning.ibm.com/activity/PLAN-9CB5D008A06F,https://learn.ibm.com/course/view.php?id=11929
2,120.0,watsonx.data intelligence Data Governance Intermediate,L2-Intermediate,next_level,Data Platform,Data Fabric,Data Intelligence,https://yourlearning.ibm.com/activity/PLAN-E0DDF6C0F953,https://learn.ibm.com/course/view.php?id=11820
3,120.0,watsonx.data intelligence Data Sharing Intermediate,L2-Intermediate,next_level,Data Platform,Data Fabric,Data Intelligence,https://yourlearning.ibm.com/activity/PLAN-6B733F8FB173,https://learn.ibm.com/course/view.php?id=16750
4,120.0,watsonx.data intelligence Data Lineage Technical Sales Intermediate,L2-Intermediate,next_level,Data Platform,Data Fabric,Data Intelligence,https://yourlearning.ibm.com/activity/PLAN-06C10073E63B,https://learn.ibm.com/course/view.php?id=16854
5,120.0,Master Data Management Intermediate,L2-Intermediate,next_level,Data Platform,Data Fabric,Data Intelligence,https://yourlearning.ibm.com/activity/PLAN-40F8967D9D4A,https://learn.ibm.com/course/view.php?id=11991
6,111.2,watsonx.data integration ETL and ELT Intermediate,L2-Intermediate,next_level,Data Platform,Data Fabric,Data Integration,https://yourlearning.ibm.com/activity/PLAN-D0F608EC00D4,https://learn.ibm.com/course/view.php?id=11880
7,111.2,Data Replication Intermediate,L2-Intermediate,next_level,Data Platform,Data Fabric,Data Integration,https://yourlearning.ibm.com/activity/PLAN-6FF82B5FFF05,https://learn.ibm.com/course/view.php?id=15753
8,111.2,watsonx.data integration Data Observability Intermediate,L2-Intermediate,next_level,Data Platform,Data Fabric,Data Integration,https://yourlearning.ibm.com/activity/PLAN-A390328C0AD0,https://learn.ibm.com/course/view.php?id=12468
9,111.2,watsonx.data integration Real-time Streaming Intermediate,L2-Intermediate,next_level,Data Platform,Data Fabric,Data Integration,https://yourlearning.ibm.com/activity/PLAN-9151C7D0112C,https://learn.ibm.com/course/view.php?id=16924
10,93.8,watsonx.data Intermediate,L2-Intermediate,next_level,Data Platform,Data Fabric,Data Lakehouse,https://yourlearning.ibm.com/activity/PLAN-D1A3C14641E5,https://learn.ibm.com/course/view.php?id=13171
11,85.0,SPSS Statistics Sales Foundation,L1-Foundation,new_paths,Data Platform,Data Fabric,Data Intelligence,https://yourlearning.ibm.com/activity/PLAN-3C06A9FA6AF3,https://learn.ibm.com/course/view.php?id=11760
12,85.0,Watson Query Sales Foundation,L1-Foundation,new_paths,Data Platform,Data Fabric,Data Intelligence,https://yourlearning.ibm.com/activity/PLAN-3E1EAAF330BB,https://learn.ibm.com/course/view.php?id=11665
13,50.0,Guardium Suite Sales Foundation,L1-Foundation,new_paths,Data Platform,Data Fabric,Data Security,https://yourlearning.ibm.com/activity/PLAN-936395CB3DA2,https://learn.ibm.com/course/view.php?id=12455
14,50.0,Guardium Data Protection Sales Foundation,L1-Foundation,new_paths,Data Platform,Data Fabric,Data Security,https://yourlearning.ibm.com/activity/PLAN-65A7F4C08A13,https://learn.ibm.com/course/view.php?id=12398
15,50.0,Guardium Data Security Center Sales Foundation,L1-Foundation,new_paths,Data Platform,Data Fabric,Data Security,https://yourlearning.ibm.com/activity/PLAN-5532B5C01E0E,https://learn.ibm.com/course/view.php?id=17352
16,50.0,Guardium Cryptography Manager Sales Foundation,L1-Foundation,new_paths,Data Platform,Data Fabric,Data Security,https://yourlearning.ibm.com/activity/PLAN-2D8FECC4819C,https://learn.ibm.com/course/view.php?id=17694
17,50.0,Guardium Discover and Classify Sales Foundation,L1-Foundation,new_paths,Data Platform,Data Fabric,Data Security,https://yourlearning.ibm.com/activity/PLAN-2EA954C06444,https://learn.ibm.com/course/view.php?id=11445
18,50.0,Guardium Key Lifecycle Management Sales Foundation,L1-Foundation,new_paths,Data Platform,Data Fabric,Data Security,https://yourlearning.ibm.com/activity/PLAN-AA07D676CD2B,https://learn.ibm.com/course/view.php?id=12401
19,50.0,Db2 Sales Foundation,L1-Foundation,new_paths,Data Platform,Data Fabric,Databases,https://yourlearning.ibm.com/activity/PLAN-E245A4DA2C5F,https://learn.ibm.com/course/view.php?id=11647
20,50.0,Informix Sales Foundation,L1-Foundation,new_paths,Data Platform,Data Fabric,Databases,https://yourlearning.ibm.com/activity/PLAN-BBF22048B08F,https://learn.ibm.com/course/view.php?id=11945
21,50.0,Netezza Performance Server Sales Foundation,L1-Foundation,new_paths,Data Platform,Data Fabric,Databases,https://yourlearning.ibm.com/activity/PLAN-2EBCEBAD4D54,https://learn.ibm.com/course/view.php?id=11679
22,25.0,AI+ Content Creator Foundational,L1-Foundation,new_paths,Data Platform,AI Productivity,AI Assistants,https://yourlearning.ibm.com/activity/PLAN-28D9429836A3,
23,25.0,IBM Bob Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,AI Assistants,https://yourlearning.ibm.com/activity/PLAN-0D4D7271BD88,https://learn.ibm.com/course/view.php?id=18721
24,25.0,watsonx Assistant Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,AI Assistants,https://yourlearning.ibm.com/activity/PLAN-3BB70D7DA3A7,https://learn.ibm.com/course/view.php?id=9540
25,25.0,watsonx Code Assistant Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,AI Assistants,https://yourlearning.ibm.com/activity/PLAN-AF1D13558298,https://learn.ibm.com/course/view.php?id=17089
26,25.0,Generative AI for Code with watsonx Code Assistant Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,AI Assistants,https://yourlearning.ibm.com/activity/PLAN-9940A22C5FF6,https://learn.ibm.com/course/view.php?id=15710
27,25.0,Application Modernization with watsonx Code Assistant for Z Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,AI Assistants,https://yourlearning.ibm.com/activity/PLAN-758DDA1EB39F,https://learn.ibm.com/course/view.php?id=15811
28,25.0,Watson Discovery V2 Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,AI Assistants,https://yourlearning.ibm.com/activity/PLAN-D3EC41AAB246,https://learn.ibm.com/course/view.php?id=11631
29,25.0,Watson Speech Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,AI Assistants,https://yourlearning.ibm.com/activity/PLAN-1F86F6F6CE44,https://learn.ibm.com/course/view.php?id=11335
30,25.0,watsonx Orchestrate Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,AI Assistants,https://yourlearning.ibm.com/activity/PLAN-AFF6D831D183,https://learn.ibm.com/course/view.php?id=13174
31,25.0,Cognos Analytics Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,Business Analytics,https://yourlearning.ibm.com/activity/PLAN-12DF6C72E59A,https://learn.ibm.com/course/view.php?id=11431
